Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
133,Evrarireth,Sylleluven,Sylleluven Captaincy,Kyathlulil,Kingdom of Kyathlulil,昆雅（精灵）,昆雅（精灵） Druidism,village,1336,5511.68,1296.61,43.4,18.12,225,4°C,Reykjavik (Iceland),,,,,,,,{t1:or;division:{division:perCross;t:sable;line:invecked};charges:[{charge:ladder2;t:azure;p:j;size:0.6};{charge:crossHummetty;t:argent;p:l;size:0.6};{charge:arbalest2;t:argent;p:m;size:0.6};{charge:crossDouble;t:azure;p:o;size:0.6}];shield:culture},https://watabou.github.io/village-generator/?pop=1336&name=Evrarireth&seed=1234182160133&width=1400&height=683&style=snow&tags=river%2Cdead+end%2Cno+square%2Cdense
134,Dierzan,Croi,Croi Earldom,Zrio,Kingdom of Zrio,狗头人（哥布林）,Old Gneabligzism,village,966,1795.47,3388.42,-31.79,-115.46,324,15°C,Rome (Italy),,,,,,,,{t1:masoned-azure-or-small;ordinaries:[{ordinary:chevron;t:argent}];shield:culture},https://watabou.github.io/village-generator/?pop=966&name=Dierzan&seed=1234182160134&width=1000&height=488&style=default&tags=river%2Chighway%2Cno+square%2Cdense
135,Nisierhod,Nisierhod,Nisierhod County,Srach,Grand Duchy of Srach,阿拉戈（蛛形）,Deities of the Amber Cold,town,10896,4997.59,1107.37,50.2,-0.36,9,-2°C,Fairbanks (Alaska),,,,walls,,,,{t1:argent;charges:[{charge:eagle;t:purpure;p:e;t2:purpure;t3:purpure;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Nisierhod&population=10896&size=32&seed=1234182160135&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
136,Rezgran,Drodh,Drodh Department,Engai,Republic of Engai,乌格卢克（兽人）,乌格卢克（兽人） Forefathers,town,4106,1953.73,2036.39,16.81,-109.77,49,26°C,Jakarta (Indonesia),,port,,,,,,{t1:azure;ordinaries:[{ordinary:terrace;t:or;line:wavy}];shield:culture},https://watabou.github.io/city-generator/?name=Rezgran&population=4106&size=22&seed=1234182160136&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
137,Eelion,Saquasanar,Saquasanar Barony,Olerin,Olerin Empire,昆雅（精灵）,昆雅（精灵） Druidism,town,2281,6920.5,1966.73,19.31,68.76,1156,16°C,Dubrovnik (Croatia),,,,,,,,{t1:or;charges:[{charge:pot;t:purpure;p:e;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Eelion&population=2281&size=18&seed=1234182160137&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
138,Zrazred,Gurmurd,Gurmurd Captaincy,Vreagab,Kingdom of Vreagab,乌格卢克（兽人）,乌格卢克（兽人） Forefathers,town,4680,2828.01,1604.77,32.32,-78.34,49,13°C,Milan (Italy),,,,walls,,,,{t1:azure;charges:[{charge:ramHeadErased;t:or;p:e;t2:or;t3:argent;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Zrazred&population=4680&size=23&seed=1234182160138&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
139,Wruildai,Brat,Brat County,Brat,Principality of Brat,狗头人（哥布林）,Old Gneabligzism,town,7416,3730.24,1654.36,30.54,-45.91,225,15°C,Rome (Italy),,,,,,,,{t1:pally-or-purpure-smaller;division:{division:perFess;t:azure;line:straight};ordinaries:[{ordinary:pall;t:gules}];shield:culture},https://watabou.github.io/city-generator/?name=Wruildai&population=7416&size=28&seed=1234182160139&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
140,Khizruc,Nelkunbu,Nelkunbu County,Shemnaselu,Grand Duchy of Shemnaselu,尤顿（巨人）,尤顿（巨人） Druidism,town,6915,5753.19,2547.39,-1.56,26.8,100,29°C,Niamey (Niger),,port,,,,,,{t1:azure;charges:[{charge:eagleTwoHeads;t:or;p:e;t2:or;t3:or;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Khizruc&population=6915&size=27&seed=1234182160140&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.49
141,Bres,Kuzg,Kuzg County,Zrio,Kingdom of Zrio,狗头人（哥布林）,Old Gneabligzism,town,2045,2083.67,2428.12,2.73,-105.1,324,27°C,Mogadishu (Somalia),,,,,,,,{t1:gules;ordinaries:[{ordinary:fess;t:or;line:flechy}];charges:[{charge:bell;t:azure;p:def;t2:azure;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Bres&population=2045&size=17&seed=1234182160141&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
142,Brug,Kuzg,Kuzg County,Zrio,Kingdom of Zrio,乌格卢克（兽人）,乌格卢克（兽人） Forefathers,town,4896,1889.9,2173.03,11.9,-112.07,484,26°C,Jakarta (Indonesia),,,,,,,,{t1:gules;charges:[{charge:pique;t:or;p:beh;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Brug&population=4896&size=24&seed=1234182160142&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
143,Tragli,Qosx,Qosx Governorate,Engai,Republic of Engai,狗头人（哥布林）,Old Gneabligzism,town,4175,2420.23,3269.41,-27.51,-93,49,20°C,Alexandria (Egypt),,,,,,,,{t1:vairAncien-argent-sable;division:{division:perBend;t:azure;line:straight};shield:culture},https://watabou.github.io/city-generator/?name=Tragli&population=4175&size=22&seed=1234182160143&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
144,Mudcallere,Drayhost,Drayhost Earldom,Eartland,Grand Duchy of Eartland,阿诺（人类）,Embergrakecism,town,7081,7383.3,3523.59,-36.65,85.4,64,14°C,Washington (D.C.),,,,walls,,,,{t1:argent;charges:[{charge:cannon;t:azure;p:e;t2:azure;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Mudcallere&population=7081&size=27&seed=1234182160144&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
145,Dosearius,Nalas,Nalas Barony,Shemnaselu,Grand Duchy of Shemnaselu,昆雅（精灵）,昆雅（精灵） Druidism,town,7951,5666.58,2098.48,14.58,23.69,9,28°C,Bangkok (Thailand),,port,,,,,,{t1:sable;division:{division:perPale;t:argent;line:straight};charges:[{charge:roundel2;t:or;p:e;divided:field;size:1.5};{charge:boat;t:azure;p:e;divided:division;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Dosearius&population=7951&size=28&seed=1234182160145&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.98
146,Illalassin,Sylleluven,Sylleluven Captaincy,Kyathlulil,Kingdom of Kyathlulil,昆雅（精灵）,昆雅（精灵） Druidism,town,2064,5816.98,1438.44,38.3,29.1,529,5°C,Harbin (China),,,,,,,,{t1:vert;division:{division:perCross;t:argent;line:urdy};charges:[{charge:hourglass;t:or;p:jl;t2:or;t3:or;size:0.7}];shield:culture},https://watabou.github.io/city-generator/?name=Illalassin&population=2064&size=17&seed=1234182160146&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
147,Hildhor,Hildhor,Hildhor County,Digez,Digezan League,尤顿（巨人）,尤顿（巨人） Druidism,city,17096,8628.55,2569.46,-2.35,130.16,1369,21°C,Tegucigalpa (Honduras),,,,walls,,,,{t1:maily-gules-argent;division:{division:perSaltire;t:or};shield:culture},https://watabou.github.io/city-generator/?name=Hildhor&population=17096&size=38&seed=1234182160147&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
148,Macheinora,Thalya,Thalya County,Olerin,Olerin Empire,艾尔达（精灵）,艾尔达（精灵） Spirits,village,1249,6459.54,1303.14,43.16,52.2,144,3°C,Tromsø (Norway),,,,,,,,{t1:purpure;charges:[{charge:wheatStalk;t:argent;p:jlh;t2:argent;size:0.7}];shield:culture},https://watabou.github.io/village-generator/?pop=1249&name=Macheinora&seed=1234182160148&width=1400&height=683&style=snow&tags=river%2Chighway%2Cuncultivated%2Cno+square%2Cdense
149,Boulhallse,Boulhallse,Boulhallse County,Milstar,Kingdom of Milstar,阿诺（人类）,Embergrakecism,city,14647,6815.83,3098.63,-21.37,65,400,24°C,Dakar (Senegal),,port,,,,,,{t1:gules;ordinaries:[{ordinary:bar;t:argent;line:dentilly}];charges:[{charge:centaur;t:argent;p:ach;t2:argent;t3:argent;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Boulhallse&population=14647&size=36&seed=1234182160149&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
150,Shatreora,Shatreora,Shatreora County,Solka,Kingdom of Solka,尤顿（巨人）,尤顿（巨人） Druidism,city,20302,8671.67,1685.38,29.42,131.71,9,16°C,Dubrovnik (Croatia),,,citadel,walls,,temple,shanty town,{t1:vert;ordinaries:[{ordinary:label;t:argent}];charges:[{charge:flamberge;t:or;p:pqn;t2:or;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Shatreora&population=20302&size=40&seed=1234182160150&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=1&walls=1&shantytown=1&style=natural
151,Thelt,Swa,Swa County,Brat,Principality of Brat,狗头人（哥布林）,Old Gneabligzism,village,1499,3409.54,1539.92,34.65,-57.44,25,10°C,London (England),,port,,,,,,{t1:azure;charges:[{charge:bucket;t:argent;p:e;t2:argent;size:1.5}];shield:culture},https://watabou.github.io/village-generator/?pop=1499&name=Thelt&seed=1234182160151&width=1400&height=683&style=default&tags=coast%2Chighway%2Cno+square%2Cdense
152,Shatharga,Beornel,Beornel County,Giruzar,Giruzar Empire,尤顿（巨人）,尤顿（巨人） Druidism,town,5540,7181.75,2189.14,11.32,78.16,529,25°C,Miami (USA),,,,,,,,{t1:pally-purpure-argent;ordinaries:[{ordinary:chevron;t:or}];shield:culture},https://watabou.github.io/city-generator/?name=Shatharga&population=5540&size=25&seed=1234182160152&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
153,Mur,Uzdrodh,Uzdrodh Barony,Zrio,Kingdom of Zrio,乌格卢克（兽人）,乌格卢克（兽人） Forefathers,village,1065,2001.3,2224.45,10.05,-108.06,400,25°C,Miami (USA),,,,,,,,{t1:vert;ordinaries:[{ordinary:bendletSinister;t:or;line:straight}];charges:[{charge:pike;t:gules;p:lem;t2:gules;size:0.3}];shield:culture},https://watabou.github.io/village-generator/?pop=1065&name=Mur&seed=1234182160153&width=1400&height=683&style=default&tags=dead+end%2Cno+square%2Cdense
154,Hiszils,Ulm,Ulm Landgrave,Vreagab,Kingdom of Vreagab,狗头人（哥布林）,Old Gneabligzism,town,5784,3002.61,1685.94,29.4,-72.07,121,15°C,Rome (Italy),,,,,,,,{t1:gules;charges:[{charge:bearRampant;t:argent;p:jln;t2:argent;t3:or;size:0.7}];shield:culture},https://watabou.github.io/city-generator/?name=Hiszils&population=5784&size=25&seed=1234182160154&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
155,Nudh,Ghodog,Ghodog County,Grur,Gruran Marches,乌鲁克（兽人）,乌鲁克（兽人） Beliefs,town,8474,2730.25,2094.6,14.71,-81.86,3249,7°C,Montreal (Canada),,,,,,,,{t1:azure;charges:[{charge:donkeyHeadCaboshed;t:argent;p:jlh;t2:argent;size:0.7}];shield:culture},https://watabou.github.io/city-generator/?name=Nudh&population=8474&size=29&seed=1234182160155&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
156,Joimzois,Phax,Phax Department,Engai,Republic of Engai,狗头人（哥布林）,Old Gneabligzism,town,9683,2748.24,3206.27,-25.24,-81.21,289,21°C,Tegucigalpa (Honduras),,,citadel,,,,,{t1:argent;charges:[{charge:castle;t:gules;p:e;t2:gules;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Joimzois&population=9683&size=31&seed=1234182160156&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
157,Graz,Gurmurd,Gurmurd Captaincy,Vreagab,Kingdom of Vreagab,乌格卢克（兽人）,乌格卢克（兽人） Forefathers,town,6079,2645.5,1668.82,30.02,-84.9,169,15°C,Rome (Italy),,,,walls,,,,{t1:purpure;charges:[{charge:pike;t:argent;p:e;t2:argent;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Graz&population=6079&size=26&seed=1234182160157&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
158,Thvethelumye,Thvethelumye,Thvethelumye County,Kyathlulil,Kingdom of Kyathlulil,昆雅（精灵）,昆雅（精灵） Druidism,town,7477,5587.93,1752.28,27.02,20.86,100,16°C,Dubrovnik (Croatia),,,citadel,,,,,{t1:or;ordinaries:[{ordinary:saltire;t:sable;line:firTrees}];charges:[{charge:serpent;t:purpure;p:e;t2:purpure;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Thvethelumye&population=7477&size=28&seed=1234182160158&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
159,Anfalle,Lightia,Lightia Landgrave,Vreagab,Kingdom of Vreagab,戴尔（人类）,戴尔（人类） Spirits,town,12050,2426.01,1420.8,38.93,-92.79,256,7°C,Montreal (Canada),,,,walls,,,,{t1:azure;charges:[{charge:axe;t:argent;p:kn;t2:argent;size:0.7}];shield:culture},https://watabou.github.io/city-generator/?name=Anfalle&population=12050&size=33&seed=1234182160159&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
160,Vorgunhe,Shola,Shola Earldom,Giruzar,Giruzar Empire,尤顿（巨人）,尤顿（巨人） Druidism,fort,992,7097.42,2328.81,6.3,75.12,1521,19°C,Marrakesh (Morocco),,,citadel,,,,,{t1:or;ordinaries:[{ordinary:orle;t:vert}];charges:[{charge:crescent;t:vert;p:ken;size:0.4}];shield:culture},null
161,Turil,Tolnarg,Tolnarg County,Tolnarg,Grand Duchy of Tolnarg,尤顿（巨人）,Embergrakecism,town,4089,8837.32,2965.92,-16.6,137.67,289,26°C,Jakarta (Indonesia),,,,,,,,{t1:argent;charges:[{charge:catPassantGuardant;t:azure;p:e;t2:azure;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Turil&population=4089&size=22&seed=1234182160161&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
162,Velkake,Narnelka,Narnelka County,Digez,Digezan League,尤顿（巨人）,Embergrakecism,town,10077,8455.38,2461.61,1.52,123.94,784,25°C,Miami (USA),,,,,,,,{t1:or;division:{division:perSaltire;t:azure};charges:[{charge:trefle;t:gules;p:abcdefgzi;divided:counter;size:0.3}];shield:culture},https://watabou.github.io/city-generator/?name=Velkake&population=10077&size=31&seed=1234182160162&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
163,Bothizda,Bothizda,Bothizda County,Solka,Kingdom of Solka,尤顿（巨人）,尤顿（巨人） Druidism,town,7120,8224.91,2047.49,16.41,115.65,400,23°C,Rio de Janeiro (Brazil),,,,,,,,{t1:argent;division:{division:gyronny;t:azure};charges:[{charge:archer;t:gules;p:e;t2:gules;t3:gules;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Bothizda&population=7120&size=27&seed=1234182160163&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
164,Onacross,Swampmoorga,Swampmoorga County,Eartland,Grand Duchy of Eartland,阿诺（人类）,Embergrakecism,town,2494,7049.42,3414.85,-32.74,73.4,196,16°C,Dubrovnik (Croatia),,,,,,,,{t1:argent;ordinaries:[{ordinary:chevron;t:purpure}];charges:[{charge:mullet;t:or;p:ach;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Onacross&population=2494&size=18&seed=1234182160164&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
165,Ollsharireth,Adhelumye,Adhelumye County,Kyathlulil,Kingdom of Kyathlulil,昆雅（精灵）,昆雅（精灵） Druidism,town,7144,5575.64,1539.66,34.66,20.42,196,9°C,Copenhagen (Denmark),,,,walls,,,,{t1:or;division:{division:perBend;t:gules;line:arched};charges:[{charge:billet;t:vert;p:l;size:0.7};{charge:anchor;t:argent;p:m;size:0.7}];shield:culture},https://watabou.github.io/city-generator/?name=Ollsharireth&population=7144&size=27&seed=1234182160165&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
166,Sleh,Slukex,Slukex County,Brat,Principality of Brat,狗头人（哥布林）,Old Gneabligzism,village,1982,3312.28,2029.38,17.06,-60.94,36,26°C,Jakarta (Indonesia),,port,,,,,,{t1:chequy-argent-sable-smaller;division:{division:perCross;t:vert;line:straight};charges:[{charge:lymphad;t:gules;p:j;t2:gules;t3:gules;size:0.6};{charge:column;t:argent;p:l;size:0.6};{charge:palace;t:argent;p:m;size:0.6};{charge:pineCone;t:azure;p:o;size:0.6}];shield:culture},https://watabou.github.io/village-generator/?pop=1982&name=Sleh&seed=1234182160166&width=1600&height=780&style=default&tags=coast%2Chighway%2Cno+square%2Cdense
167,Kluird,Qeekork,Qeekork Governorate,Engai,Republic of Engai,狗头人（哥布林）,Old Gneabligzism,village,1307,2358.46,3034.29,-19.06,-95.22,144,27°C,Mogadishu (Somalia),,,,,,,,{t1:argent;division:{division:chevronny;t:azure};charges:[{charge:key;t:gules;p:e;size:1.5}];shield:culture},https://watabou.github.io/village-generator/?pop=1307&name=Kluird&seed=1234182160167&width=1400&height=683&style=default&tags=dead+end%2Cno+square%2Cdense
168,Adhelfase,Itheiheilera,Itheiheilera Barony,Olerin,Olerin Empire,昆雅（精灵）,昆雅（精灵） Druidism,village,1218,6851.69,1589.88,32.86,66.29,400,11°C,Antwerp (Belgium),,,,walls,,,,{t1:chainy-argent-vert;division:{division:perBend;t:purpure;line:straight};ordinaries:[{ordinary:bordure;t:sable}];shield:culture},https://watabou.github.io/village-generator/?pop=1218&name=Adhelfase&seed=1234182160168&width=1400&height=683&style=default&tags=highway%2Cno+square%2Cpalisade%2Cdense
169,Veekz,Phax,Phax Department,Engai,Republic of Engai,狗头人（哥布林）,Old Gneabligzism,town,8245,2704.57,3312.79,-29.07,-82.78,625,16°C,Dubrovnik (Croatia),,,,,,,,{t1:argent;charges:[{charge:ouroboros;t:azure;p:e;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Veekz&population=8245&size=29&seed=1234182160169&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
170,Khathiz,Migez,Migez Earldom,Tolnarg,Grand Duchy of Tolnarg,尤顿（巨人）,尤顿（巨人） Druidism,village,929,8821,3316.9,-29.22,137.08,16,20°C,Alexandria (Egypt),,,,,,,,{t1:barry-argent-azure;ordinaries:[{ordinary:chevron;t:sable}];shield:culture},https://watabou.github.io/village-generator/?pop=929&name=Khathiz&seed=1234182160170&width=1000&height=488&style=default&tags=dead+end%2Cno+square%2Cdense
171,Khrir,Shranqel,Shranqel County,Srach,Grand Duchy of Srach,阿拉戈（蛛形）,Deities of the Amber Cold,village,1000,4837.41,1642.54,30.96,-6.11,25,13°C,Milan (Italy),,,,,,,,{t1:barry-gules-argent;ordinaries:[{ordinary:pile;t:or}];charges:[{charge:buckle;t:vert;p:b;size:0.5}];shield:culture},https://watabou.github.io/village-generator/?pop=1000&name=Khrir&seed=1234182160171&width=1000&height=488&style=default&tags=river%2Cdead+end%2Cno+square%2Cdense
172,Zugberthar,Zugberthar,Zugberthar Captaincy,Solka,Kingdom of Solka,尤顿（巨人）,尤顿（巨人） Druidism,city,16209,8606.48,1424.07,38.82,129.37,9,6°C,Stockholm (Sweden),,port,citadel,,,,,{t1:purpure;charges:[{charge:inescutcheon;t:or;p:e;size:1.5};{charge:mullet8;t:gules;p:e;size:0.75}];shield:culture},https://watabou.github.io/city-generator/?name=Zugberthar&population=16209&size=37&seed=1234182160172&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.35
173,Ulmzois,Gasinx,Gasinx County,Brat,Principality of Brat,狗头人（哥布林）,Old Gneabligzism,town,3811,3514.92,1642.35,30.97,-53.65,121,15°C,Rome (Italy),,,,,,,,{t1:azure;ordinaries:[{ordinary:pall;t:or}];charges:[{charge:anvil;t:vert;p:jlh;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Ulmzois&population=3811&size=21&seed=1234182160173&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
174,Trag,Srurd,Srurd County,Zrio,Kingdom of Zrio,狗头人（哥布林）,Old Gneabligzism,village,1894,1436.12,2959.87,-16.39,-128.38,9,28°C,Bangkok (Thailand),,,,,,,,{t1:gules;charges:[{charge:shield;t:or;p:jln;t2:or;size:0.7}];shield:culture},https://watabou.github.io/village-generator/?pop=1894&name=Trag&seed=1234182160174&width=1600&height=780&style=default&tags=isolated%2Cfarmland%2Cno+orchards%2Cno+square%2Cdense
175,Narak,Brem,Brem Earldom,Giruzar,Giruzar Empire,尤顿（巨人）,Embergrakecism,town,8549,7624.5,2722.46,-7.85,94.07,64,29°C,Niamey (Niger),,,,,,,,{t1:ermine-argent-purpure;division:{division:perFess;t:sable;line:straight};ordinaries:[{ordinary:pallReversed;t:azure}];shield:culture},https://watabou.github.io/city-generator/?name=Narak&population=8549&size=29&seed=1234182160175&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
176,Driorvaq,Eszbiard,Eszbiard County,Brat,Principality of Brat,狗头人（哥布林）,Old Gneabligzism,town,6054,3305.6,2078.3,15.3,-61.18,36,26°C,Jakarta (Indonesia),,,,,,,,{t1:argent;ordinaries:[{ordinary:cross;t:vert;line:invecked}];charges:[{charge:mullet6;t:or;p:e;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Driorvaq&population=6054&size=26&seed=1234182160176&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
177,Wrog,Phax,Phax Department,Engai,Republic of Engai,狗头人（哥布林）,Old Gneabligzism,village,1031,2627.91,3453.28,-34.12,-85.54,36,17°C,Lisbon (Portugal),,,,,,,,{t1:vert;ordinaries:[{ordinary:saltire;t:or;line:embattled}];charges:[{charge:trianglePierced;t:sable;p:e;size:0.7}];shield:culture},https://watabou.github.io/village-generator/?pop=1031&name=Wrog&seed=1234182160177&width=1400&height=683&style=default&tags=highway%2Cno+square%2Cdense
178,Giggan,Brybrinqi,Brybrinqi County,Vreagab,Kingdom of Vreagab,狗头人（哥布林）,Old Gneabligzism,town,4137,3381.95,1703.61,28.77,-58.43,169,16°C,Dubrovnik (Croatia),,,,,,,,{t1:azure;charges:[{charge:maces;t:or;p:e;t2:or;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Giggan&population=4137&size=22&seed=1234182160178&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
179,Gneable,Qosx,Qosx Governorate,Engai,Republic of Engai,狗头人（哥布林）,Old Gneabligzism,town,2919,2458.88,3236.66,-26.33,-91.61,144,22°C,Guangzhou (China),,,,,,,,{t1:azure;division:{division:perPale;t:scaly-gules-or;line:straight};ordinaries:[{ordinary:gore;t:argent}];shield:culture},https://watabou.github.io/city-generator/?name=Gneable&population=2919&size=19&seed=1234182160179&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
180,Gortharb,Zugberthar,Zugberthar Captaincy,Solka,Kingdom of Solka,尤顿（巨人）,尤顿（巨人） Druidism,town,7372,8586.81,1316.21,42.69,128.66,81,4°C,Reykjavik (Iceland),,,,,,,,{t1:gules;division:{division:perPale;t:argent;line:enclavy};charges:[{charge:fusil;t:or;p:p;size:0.7};{charge:rose;t:gules;p:q;size:0.7}];shield:culture},https://watabou.github.io/city-generator/?name=Gortharb&population=7372&size=28&seed=1234182160180&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
181,Mernaram,Mernaram,Mernaram County,Milstar,Kingdom of Milstar,尤顿（巨人）,尤顿（巨人） Druidism,town,9662,6714.23,2804.65,-10.81,61.35,529,25°C,Miami (USA),,,,,,,,{t1:gules;ordinaries:[{ordinary:bendSinister;t:argent;line:straight}];charges:[{charge:stagPassant;t:argent;p:a;t2:or;size:0.5}];shield:culture},https://watabou.github.io/city-generator/?name=Mernaram&population=9662&size=31&seed=1234182160181&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
182,Doglen,Steameria,Steameria Earldom,Eartland,Grand Duchy of Eartland,阿诺（人类）,Embergrakecism,town,9119,7323.06,3347.92,-30.33,83.24,196,17°C,Lisbon (Portugal),,,,walls,,,,{t1:azure;charges:[{charge:wasp;t:or;p:e;t2:or;t3:or;size:1.5}];shield:culture},https://watabou.github.io/city-generator/?name=Doglen&population=9119&size=30&seed=1234182160182&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
183,Bratliaq,Bratliaq,Bratliaq Department,Engai,Republic of Engai,狗头人（哥布林）,Old Gneabligzism,city,15531,2857.55,2517.14,-0.47,-77.28,169,29°C,Niamey (Niger),,,,,,,,{t1:argent;charges:[{charge:drakkar;t:purpure;p:jln;t2:purpure;t3:purpure;size:0.7}];shield:culture},https://watabou.github.io/city-generator/?name=Bratliaq&population=15531&size=37&seed=1234182160183&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
